average_utilization,elapsed_time(s),,,
25.73%,0.426,,,
27.61%,0.391,,,
26.33%,0.408,,,
26.86%,0.421,,,
28.94%,0.368,,,
31.24%,0.369,,,
27.61%,0.426,,,
33.13%,0.386,,,
33.45%,0.355,,,
31.24%,0.356,,,
30.44%,0.379,,,
22.47%,0.39,,,
28.01%,0.37,,,
33.45%,0.336,,,
26.33%,0.377,,,
31.24%,0.364,,,
27.61%,0.381,,,
26.35%,0.37,,,
31.24%,0.379,,,
33.45%,0.35,,,
26.33%,0.389,,,
30.44%,0.36,,,
33.45%,0.364,,,
31.24%,0.445,,,
33.45%,0.356,,,
30.44%,0.397,,,
28.94%,0.364,,,
23.85%,0.424,,,
31.84%,0.334,,,
31.24%,0.37,,,
25.60%,0.38,,,
33.45%,0.337,,,
33.45%,0.367,,,
31.24%,0.352,,,
33.13%,0.386,,,
31.24%,0.365,,,
32.27%,0.411,,,
33.45%,0.377,,,
33.13%,0.38,,,
28.01%,0.391,,,
28.01%,0.385,,,
31.24%,0.403,,,
33.45%,0.377,,,
28.82%,0.347,,,
30.44%,0.37,,,
28.01%,0.384,,,
31.24%,0.387,,,
33.13%,0.361,,,
25.11%,0.398,,,
33.13%,0.363,,,
30.44%,0.395,,,
27.61%,0.396,,,
25.60%,0.443,,,
26.33%,0.395,,,
31.24%,0.385,,,
31.24%,0.415,,,
33.45%,0.383,,,
22.47%,0.382,,,
33.45%,0.373,,,
27.61%,0.376,,,
33.45%,0.336,,,
31.24%,0.394,,,
28.01%,0.371,,,
28.94%,0.36,,,
23.39%,0.382,,,
33.45%,0.337,,,
31.84%,0.343,,,
33.45%,0.362,,,
33.45%,0.356,,,
22.47%,0.433,,,
25.60%,0.419,,,
26.35%,0.355,,,
31.24%,0.362,,,
31.84%,0.34,,,
31.24%,0.388,,,
25.60%,0.376,,,
30.44%,0.368,,,
33.13%,0.367,,,
33.45%,0.353,,,
25.60%,0.363,,,
33.13%,0.412,,,
33.45%,0.386,,,
31.24%,0.366,,,
27.61%,0.38,,,
31.24%,0.377,,,
22.47%,0.386,,,
31.24%,0.351,,,
33.45%,0.334,,,
27.61%,0.379,,,
33.45%,0.346,,,
33.13%,0.384,,,
26.33%,0.372,,,
22.47%,0.389,,,
33.45%,0.345,,,
28.01%,0.372,,,
33.45%,0.331,,,
28.94%,0.364,,,
28.01%,0.386,,,
31.24%,0.37,,,
29.68%,0.365,,,
33.45%,0.374,,,
33.45%,0.37,,,
25.60%,0.396,,,
31.24%,0.362,,,
27.61%,0.404,,,
30.44%,0.388,,,
28.01%,0.379,,,
33.13%,0.393,,,
30.44%,0.406,,,
31.24%,0.379,,,
31.24%,0.384,,,
33.13%,0.386,,,
22.47%,0.453,,,
33.45%,0.388,,,
30.44%,0.409,,,
33.45%,0.393,,,
31.24%,0.408,,,
33.45%,0.36,,,
33.13%,0.403,,,
31.24%,0.384,,,
25.60%,0.432,,,
33.45%,0.381,,,
33.45%,0.378,,,
33.45%,0.368,,,
26.35%,0.386,,,
33.45%,0.399,,,
33.45%,0.384,,,
29.68%,0.385,,,
30.44%,0.414,,,
30.44%,0.404,,,
31.24%,0.392,,,
31.84%,0.388,,,
22.47%,0.408,,,
30.44%,0.411,,,
31.24%,0.369,,,
28.01%,0.406,,,
31.24%,0.402,,,
23.85%,0.415,,,
31.84%,0.369,,,
25.60%,0.458,,,
25.60%,0.438,,,
27.54%,0.479,,,
33.45%,0.376,,,
25.60%,0.406,,,
31.24%,0.41,,,
25.60%,0.415,,,
33.45%,0.374,,,
26.48%,0.413,,,
33.45%,0.396,,,
31.84%,0.357,,,
33.45%,0.372,,,
33.13%,0.414,,,
31.84%,0.354,,,
33.13%,0.418,,,
31.24%,0.407,,,
33.45%,0.37,,,
30.44%,0.392,,,
30.44%,0.415,,,
31.24%,0.386,,,
30.44%,0.402,,,
33.45%,0.393,,,
28.01%,0.363,,,
27.61%,0.421,,,
33.45%,0.405,,,
28.01%,0.388,,,
25.60%,0.463,,,
23.85%,0.428,,,
28.01%,0.385,,,
31.90%,0.399,,,
31.24%,0.395,,,
33.45%,0.386,,,
33.13%,0.408,,,
30.44%,0.483,,,
26.48%,0.41,,,
25.60%,0.462,,,
33.45%,0.349,,,
30.44%,0.394,,,
31.84%,0.345,,,
33.45%,0.347,,,
33.45%,0.352,,,
30.44%,0.356,,,
31.24%,0.38,,,
26.48%,0.417,,,
30.44%,0.397,,,
33.13%,0.381,,,
26.86%,0.408,,,
27.61%,0.4,,,
23.85%,0.443,,,
33.45%,0.397,,,
31.24%,0.369,,,
31.24%,0.396,,,
25.60%,0.383,,,
31.84%,0.35,,,
30.44%,0.412,,,
33.45%,0.349,,,
31.24%,0.383,,,
33.45%,0.363,,,
26.48%,0.401,,,
28.01%,0.389,,,
31.24%,0.375,,,
33.45%,0.371,,,
33.45%,0.38,,,
23.85%,0.405,,,
33.13%,0.403,,,
33.45%,0.375,,,
27.61%,0.385,,,
33.45%,0.384,,,
31.84%,0.35,,,
31.24%,0.394,,,
31.24%,0.406,,,
31.24%,0.376,,,
31.24%,0.363,,,
31.24%,0.374,,,
30.44%,0.398,,,
33.13%,0.391,,,
31.24%,0.392,,,
22.47%,0.459,,,
31.24%,0.377,,,
22.12%,0.381,,,
27.61%,0.371,,,
31.24%,0.348,,,
33.45%,0.356,,,
33.45%,0.34,,,
30.44%,0.375,,,
33.45%,0.343,,,
26.33%,0.37,,,
28.01%,0.365,,,
28.94%,0.355,,,
31.24%,0.372,,,
23.85%,0.381,,,
31.84%,0.361,,,
28.94%,0.366,,,
32.90%,0.315,,,
31.24%,0.369,,,
31.15%,0.346,,,
31.24%,0.364,,,
26.33%,0.401,,,
33.13%,0.394,,,
32.90%,0.361,,,
31.84%,0.374,,,
31.24%,0.383,,,
25.60%,0.395,,,
23.39%,0.447,,,
25.19%,0.371,,,
31.24%,0.377,,,
33.45%,0.373,,,
33.13%,0.406,,,
30.44%,0.425,,,
33.45%,0.351,,,
27.61%,0.405,,,
31.24%,0.386,,,
30.44%,0.393,,,
31.24%,0.379,,,
33.45%,0.38,,,
31.24%,0.408,,,
28.01%,0.387,,,
25.60%,0.441,,,
33.45%,0.353,,,
33.45%,0.362,,,
33.45%,0.363,,,
30.47%,0.344,,,
23.85%,0.418,,,
31.24%,0.36,,,
22.47%,0.422,,,
25.80%,0.398,,,
31.24%,0.359,,,
33.13%,0.365,,,
33.45%,0.372,,,
33.13%,0.411,,,
31.24%,0.37,,,
28.94%,0.364,,,
31.24%,0.371,,,
27.61%,0.381,,,
33.45%,0.365,,,
27.61%,0.384,,,
28.01%,0.356,,,
27.61%,0.405,,,
31.24%,0.391,,,
33.45%,0.338,,,
32.90%,0.355,,,
26.48%,0.395,,,
25.60%,0.397,,,
30.44%,0.348,,,
30.49%,0.387,,,
31.24%,0.385,,,
26.48%,0.413,,,
31.84%,0.364,,,
33.13%,0.4,,,
33.45%,0.379,,,
33.70%,0.381,,,
28.94%,0.37,,,
31.24%,0.383,,,
31.24%,0.392,,,
31.24%,0.382,,,
31.24%,0.389,,,
33.45%,0.37,,,
28.94%,0.382,,,
30.44%,0.391,,,
31.24%,0.366,,,
23.85%,0.416,,,
33.45%,0.381,,,
28.94%,0.37,,,
33.45%,0.343,,,
26.48%,0.371,,,
25.60%,0.368,,,
25.60%,0.423,,,
33.45%,0.361,,,
31.24%,0.347,,,
28.01%,0.362,,,
28.94%,0.371,,,
31.24%,0.384,,,
31.24%,0.369,,,
30.44%,0.396,,,
27.61%,0.379,,,
31.84%,0.361,,,
30.44%,0.379,,,
23.85%,0.416,,,
25.60%,0.425,,,
22.47%,0.394,,,
28.94%,0.392,,,
25.60%,0.437,,,
26.33%,0.414,,,
31.24%,0.366,,,
23.85%,0.411,,,
30.44%,0.427,,,
27.61%,0.383,,,
26.48%,0.388,,,
23.85%,0.38,,,
33.13%,0.371,,,
33.45%,0.342,,,
28.01%,0.386,,,
29.68%,0.362,,,
27.61%,0.386,,,
31.24%,0.373,,,
25.60%,0.38,,,
33.13%,0.375,,,
28.01%,0.382,,,
33.13%,0.34,,,
25.60%,0.385,,,
33.45%,0.363,,,
33.45%,0.34,,,
28.01%,0.338,,,
31.84%,0.355,,,
33.45%,0.368,,,
23.85%,0.436,,,
33.45%,0.335,,,
31.24%,0.4,,,
33.45%,0.37,,,
31.24%,0.371,,,
28.01%,0.359,,,
23.39%,0.439,,,
33.45%,0.335,,,
31.24%,0.342,,,
31.24%,0.348,,,
30.44%,0.377,,,
31.24%,0.35,,,
26.48%,0.387,,,
25.60%,0.374,,,
30.44%,0.338,,,
28.94%,0.381,,,
33.45%,0.351,,,
30.44%,0.385,,,
28.94%,0.381,,,
31.84%,0.377,,,
33.45%,0.371,,,
33.45%,0.351,,,
33.45%,0.369,,,
25.60%,0.463,,,
31.24%,0.387,,,
27.61%,0.405,,,
28.18%,0.378,,,
33.13%,0.365,,,
30.44%,0.392,,,
22.47%,0.454,,,
31.24%,0.386,,,
31.24%,0.347,,,
26.33%,0.369,,,
27.61%,0.391,,,
26.48%,0.383,,,
31.24%,0.368,,,
33.45%,0.377,,,
33.13%,0.392,,,
27.61%,0.402,,,
23.85%,0.441,,,
30.49%,0.373,,,
30.44%,0.392,,,
22.47%,0.411,,,
33.45%,0.351,,,
33.45%,0.366,,,
22.12%,0.383,,,
33.45%,0.361,,,
33.13%,0.376,,,
31.24%,0.369,,,
31.24%,0.386,,,
30.44%,0.402,,,
25.60%,0.444,,,
33.45%,0.381,,,
26.48%,0.387,,,
33.45%,0.379,,,
27.61%,0.403,,,
31.24%,0.404,,,
26.48%,0.408,,,
31.24%,0.361,,,
27.61%,0.428,,,
30.44%,0.392,,,
31.84%,0.348,,,
33.45%,0.376,,,
31.84%,0.352,,,
31.84%,0.353,,,
30.44%,0.389,,,
26.48%,0.385,,,
23.85%,0.441,,,
31.22%,0.395,,,
25.11%,0.368,,,
31.24%,0.391,,,
30.44%,0.389,,,
31.24%,0.386,,,
30.44%,0.41,,,
25.60%,0.412,,,
27.61%,0.398,,,
31.24%,0.386,,,
30.44%,0.388,,,
33.45%,0.36,,,
28.01%,0.388,,,
31.24%,0.383,,,
30.44%,0.39,,,
30.44%,0.397,,,
23.93%,0.441,,,
22.47%,0.411,,,
33.45%,0.382,,,
27.61%,0.405,,,
23.39%,0.398,,,
31.84%,0.351,,,
33.45%,0.372,,,
30.44%,0.394,,,
33.45%,0.369,,,
33.45%,0.37,,,
25.60%,0.444,,,
33.45%,0.372,,,
27.61%,0.402,,,
32.90%,0.373,,,
31.84%,0.366,,,
23.85%,0.433,,,
26.35%,0.382,,,
26.35%,0.37,,,
30.44%,0.388,,,
33.45%,0.377,,,
33.13%,0.393,,,
30.44%,0.409,,,
31.24%,0.388,,,
25.60%,0.433,,,
23.39%,0.41,,,
33.45%,0.357,,,
33.13%,0.393,,,
25.60%,0.454,,,
33.70%,0.409,,,
28.01%,0.39,,,
33.13%,0.395,,,
23.85%,0.399,,,
31.24%,0.404,,,
25.60%,0.447,,,
23.85%,0.412,,,
28.01%,0.385,,,
33.13%,0.394,,,
30.44%,0.396,,,
33.45%,0.382,,,
31.24%,0.377,,,
28.01%,0.371,,,
28.01%,0.339,,,
33.45%,0.332,,,
26.48%,0.401,,,
25.11%,0.365,,,
28.01%,0.367,,,
30.44%,0.402,,,
33.45%,0.36,,,
28.94%,0.502,,,
33.45%,0.393,,,
33.13%,0.385,,,
31.24%,0.513,,,
30.44%,0.456,,,
31.24%,0.504,,,
26.89%,0.393,,,
30.44%,0.382,,,
27.61%,0.436,,,
26.48%,0.497,,,
28.01%,0.444,,,
30.49%,0.448,,,
31.24%,0.485,,,
28.94%,0.382,,,
33.45%,0.349,,,
22.12%,0.447,,,
26.48%,0.406,,,
31.24%,0.424,,,
31.24%,0.391,,,
33.45%,0.376,,,
28.01%,0.45,,,
31.24%,0.457,,,
28.94%,0.365,,,
31.24%,0.428,,,
33.45%,0.398,,,
28.94%,0.385,,,
28.94%,0.399,,,
33.13%,0.416,,,
23.85%,0.448,,,
27.61%,0.417,,,
33.45%,0.372,,,
33.45%,0.438,,,
30.10%,0.367,,,
22.47%,0.39,,,
28.01%,0.396,,,
33.45%,0.36,,,
31.24%,0.392,,,
27.61%,0.378,,,
30.44%,0.367,,,
28.94%,0.363,,,
33.45%,0.359,,,
24.54%,0.402,,,
31.24%,0.382,,,
28.94%,0.378,,,
31.24%,0.447,,,
22.12%,0.444,,,
33.45%,0.373,,,
22.47%,0.393,,,
31.84%,0.457,,,
30.44%,0.381,,,
27.61%,0.408,,,
28.01%,0.38,,,
33.45%,0.392,,,
33.45%,0.384,,,
33.45%,0.363,,,
31.24%,0.418,,,
27.61%,0.449,,,
33.45%,0.402,,,
33.45%,0.373,,,
27.61%,0.377,,,
23.85%,0.447,,,
31.24%,0.382,,,
33.13%,0.396,,,
31.24%,0.391,,,
28.01%,0.48,,,
27.61%,0.407,,,
33.45%,0.382,,,
31.24%,0.399,,,
33.45%,0.39,,,
28.94%,0.387,,,
33.45%,0.384,,,
25.60%,0.395,,,
31.24%,0.374,,,
33.13%,0.451,,,
33.45%,0.385,,,
33.45%,0.377,,,
28.01%,0.391,,,
25.60%,0.428,,,
25.60%,0.466,,,
33.45%,0.398,,,
29.68%,0.387,,,
30.44%,0.333,,,
33.45%,0.348,,,
31.24%,0.368,,,
30.44%,0.423,,,
30.44%,0.378,,,
22.47%,0.465,,,
26.35%,0.374,,,
28.01%,0.4,,,
28.01%,0.392,,,
28.94%,0.357,,,
31.24%,0.376,,,
26.33%,0.45,,,
30.44%,0.391,,,
32.90%,0.328,,,
33.45%,0.376,,,
33.45%,0.376,,,
31.24%,0.388,,,
23.85%,0.418,,,
28.94%,0.388,,,
33.45%,0.354,,,
27.61%,0.384,,,
23.85%,0.439,,,
31.24%,0.351,,,
25.60%,0.376,,,
33.45%,0.367,,,
33.45%,0.371,,,
31.84%,0.342,,,
27.61%,0.426,,,
31.24%,0.398,,,
31.24%,0.395,,,
28.49%,0.624,,,
31.84%,0.43,,,
31.84%,0.356,,,
22.12%,0.443,,,
31.24%,0.429,,,
30.44%,0.637,,,
25.80%,0.413,,,
33.45%,0.439,,,
28.94%,0.359,,,
27.61%,0.405,,,
28.49%,0.416,,,
26.33%,0.413,,,
33.13%,0.44,,,
31.24%,0.414,,,
26.33%,0.472,,,
33.45%,0.368,,,
30.44%,0.413,,,
33.45%,0.385,,,
33.45%,0.417,,,
22.47%,0.445,,,
27.61%,0.375,,,
33.13%,0.346,,,
31.24%,0.385,,,
31.24%,0.359,,,
33.45%,0.366,,,
31.84%,0.334,,,
31.24%,0.375,,,
31.84%,0.355,,,
30.44%,0.403,,,
31.24%,0.394,,,
33.45%,0.377,,,
25.60%,0.458,,,
28.49%,0.407,,,
30.44%,0.38,,,
33.13%,0.382,,,
33.45%,0.34,,,
33.13%,0.386,,,
25.60%,0.448,,,
22.47%,0.468,,,
25.60%,0.425,,,
31.84%,0.331,,,
30.44%,0.353,,,
22.47%,0.39,,,
25.60%,0.489,,,
33.45%,0.396,,,
31.84%,0.364,,,
28.01%,0.386,,,
33.45%,0.375,,,
30.44%,0.423,,,
33.13%,0.385,,,
33.45%,0.353,,,
22.47%,0.413,,,
32.90%,0.371,,,
27.61%,0.415,,,
33.45%,0.39,,,
22.12%,0.409,,,
30.44%,0.366,,,
31.24%,0.371,,,
33.45%,0.384,,,
33.13%,0.414,,,
33.45%,0.377,,,
31.24%,0.371,,,
26.35%,0.398,,,
27.61%,0.4,,,
23.85%,0.456,,,
33.45%,0.364,,,
25.60%,0.415,,,
28.94%,0.395,,,
25.60%,0.434,,,
31.24%,0.402,,,
22.47%,0.44,,,
31.24%,0.358,,,
33.45%,0.344,,,
23.85%,0.439,,,
32.90%,0.396,,,
31.84%,0.356,,,
28.94%,0.372,,,
22.47%,0.469,,,
33.13%,0.458,,,
33.45%,0.383,,,
33.45%,0.389,,,
23.39%,0.473,,,
28.94%,0.422,,,
28.94%,0.377,,,
31.24%,0.418,,,
27.61%,0.415,,,
33.13%,0.389,,,
22.12%,0.462,,,
30.44%,0.376,,,
24.80%,0.445,,,
31.24%,0.378,,,
33.45%,0.34,,,
31.24%,0.431,,,
23.85%,0.416,,,
28.01%,0.36,,,
31.24%,0.379,,,
33.45%,0.464,,,
33.45%,0.387,,,
28.94%,0.426,,,
33.45%,0.371,,,
28.94%,0.394,,,
26.35%,0.389,,,
22.47%,0.42,,,
27.61%,0.392,,,
33.45%,0.357,,,
33.13%,0.395,,,
33.45%,0.358,,,
28.94%,0.349,,,
25.60%,0.363,,,
33.13%,0.372,,,
31.24%,0.364,,,
25.19%,0.375,,,
33.45%,0.337,,,
31.84%,0.334,,,
28.94%,0.36,,,
33.45%,0.37,,,
33.45%,0.392,,,
33.45%,0.363,,,
33.45%,0.374,,,
25.60%,0.401,,,
31.24%,0.375,,,
26.33%,0.388,,,
30.44%,0.345,,,
27.61%,0.384,,,
31.24%,0.367,,,
28.01%,0.369,,,
31.84%,0.332,,,
23.85%,0.388,,,
33.45%,0.384,,,
25.60%,0.438,,,
29.68%,0.365,,,
26.48%,0.384,,,
31.24%,0.385,,,
25.60%,0.389,,,
33.13%,0.369,,,
33.45%,0.352,,,
30.44%,0.408,,,
31.24%,0.361,,,
31.24%,0.366,,,
31.24%,0.369,,,
27.61%,0.387,,,
33.45%,0.357,,,
26.33%,0.368,,,
33.13%,0.372,,,
25.60%,0.371,,,
26.35%,0.361,,,
33.45%,0.371,,,
33.13%,0.399,,,
28.01%,0.387,,,
25.60%,0.43,,,
33.45%,0.373,,,
27.61%,0.404,,,
33.45%,0.383,,,
31.24%,0.348,,,
30.44%,0.34,,,
23.85%,0.419,,,
30.44%,0.388,,,
33.45%,0.34,,,
33.13%,0.377,,,
31.24%,0.346,,,
33.45%,0.341,,,
31.24%,0.346,,,
28.94%,0.368,,,
33.45%,0.355,,,
31.84%,0.354,,,
33.45%,0.361,,,
31.24%,0.369,,,
33.45%,0.359,,,
31.84%,0.36,,,
27.61%,0.404,,,
31.24%,0.37,,,
25.60%,0.396,,,
30.44%,0.393,,,
33.45%,0.369,,,
22.47%,0.464,,,
33.45%,0.36,,,
25.60%,0.393,,,
26.48%,0.417,,,
28.94%,0.401,,,
32.90%,0.341,,,
28.01%,0.405,,,
33.45%,0.392,,,
33.13%,0.38,,,
33.45%,0.38,,,
33.45%,0.362,,,
33.45%,0.343,,,
25.60%,0.384,,,
33.45%,0.366,,,
33.45%,0.361,,,
33.45%,0.375,,,
30.44%,0.377,,,
31.24%,0.365,,,
31.24%,0.355,,,
33.13%,0.408,,,
